report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,metric,null_model,observed,null_mean,null_std,z,abs_z,p_emp,survives_markov_2,raw_metric_json
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_en_udhr_en_text_only.json,corpus_batch_curated,,,,en,parallel_udhr,udhr,,,,,,,,,grapheme_class,10638,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es_text_only.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,,grapheme_class,11965,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_fr_udhr_fr_text_only.json,corpus_batch_curated,,,,fr,parallel_udhr,udhr,,,,,,,,,grapheme_class,11902,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_he_udhr_he.json,corpus_batch_curated,,,,he,parallel_udhr,udhr,,,,,,,,,grapheme_class,5572,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,,grapheme_class,5419,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh_text_only.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme_class,2989,,,other,Positions classified as other in the grapheme-class stream.,8,gap_entropy,density_shuffle,2.521640636343,2.807354922058,0.0,-630372633876925.9,630372633876925.9,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 2.521640636343, ""null_mean"": 2.807354922058, ""null_std"": 0.0, ""z_score"": -630372633876925.9, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,,grapheme,5419,,,vowel,Basic Latin-vowel positions plus common accented vowels.,3,run_entropy,density_shuffle,1.584962500721,2.128085278891,0.0,-497564533018111.1,497564533018111.1,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.584962500721, ""null_mean"": 2.128085278891, ""null_std"": 0.0, ""z_score"": -497564533018111.1, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme_class,9859,,,vowel,Positions classified as vowel in the grapheme-class stream.,2151,run_entropy,gap_order_shuffle,1.66053085887,1.662160277914,0.0,-2567852936519.544,2567852936519.544,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""gap_order_shuffle"", ""observed"": 1.66053085887, ""null_mean"": 1.662160277914, ""null_std"": 0.0, ""z_score"": -2567852936519.544, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme,9859,,,vowel,Basic Latin-vowel positions plus common accented vowels.,2151,run_entropy,gap_order_shuffle,1.66053085887,1.662160277914,0.0,-2340141841551.0493,2340141841551.0493,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""gap_order_shuffle"", ""observed"": 1.66053085887, ""null_mean"": 1.662160277914, ""null_std"": 0.0, ""z_score"": -2340141841551.0493, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es_text_only.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,,grapheme_class,11965,,,other,Positions classified as other in the grapheme-class stream.,1,zeta_spectral_coherence,density_shuffle,8.3604435e-05,1.714e-08,1.2186e-08,6859.14331473784,6859.14331473784,0.038461538462,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 8.3604435e-05, ""null_mean"": 1.714e-08, ""null_std"": 1.2186e-08, ""z_score"": 6859.14331473784, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_fr_udhr_fr_text_only.json,corpus_batch_curated,,,,fr,parallel_udhr,udhr,,,,,,,,,grapheme_class,11902,,,other,Positions classified as other in the grapheme-class stream.,1,zeta_spectral_coherence,density_shuffle,8.4044607e-05,1.77e-08,1.4786e-08,5682.678203885029,5682.678203885029,0.038461538462,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 8.4044607e-05, ""null_mean"": 1.77e-08, ""null_std"": 1.4786e-08, ""z_score"": 5682.678203885029, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,utf8_bits,80024,,,bit_transition,Positions where the bitstream changes from the previous bit.,29908,gap_entropy,density_shuffle,1.793094433278,2.550656619278,0.000168379264,-4499.141801810708,4499.141801810708,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.793094433278, ""null_mean"": 2.550656619278, ""null_std"": 0.000168379264, ""z_score"": -4499.141801810708, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,utf8_bits,80024,,,bit_one,Positions where the bitstream contains 1.,24970,gap_entropy,density_shuffle,1.922667007377,2.869046358801,0.000217480561,-4351.5583491228,4351.5583491228,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.922667007377, ""null_mean"": 2.869046358801, ""null_std"": 0.000217480561, ""z_score"": -4351.5583491228, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,grapheme_class,10001,,,other,Positions classified as other in the grapheme-class stream.,1,zeta_spectral_coherence,density_shuffle,0.000100000914,2.8636e-08,2.8292e-08,3533.580811660337,3533.580811660337,0.038461538462,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 0.000100000914, ""null_mean"": 2.8636e-08, ""null_std"": 2.8292e-08, ""z_score"": 3533.580811660337, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_de_udhr_de_text_only.json,corpus_batch_curated,,,,de,parallel_udhr,udhr,,,,,,,,,grapheme_class,11932,,,other,Positions classified as other in the grapheme-class stream.,1,zeta_spectral_coherence,density_shuffle,8.3834403e-05,2.1655e-08,2.6641e-08,3145.947196612605,3145.947196612605,0.038461538462,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 8.3834403e-05, ""null_mean"": 2.1655e-08, ""null_std"": 2.6641e-08, ""z_score"": 3145.947196612605, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ar_udhr_ar.json,corpus_batch_curated,,,,ar,parallel_udhr,udhr,,,,,,,,,utf8_bits,110584,,,bit_one,Positions where the bitstream contains 1.,53311,gap_entropy,density_shuffle,1.858827899645,2.072155435013,8.1894008e-05,-2604.922393291663,2604.922393291663,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.858827899645, ""null_mean"": 2.072155435013, ""null_std"": 8.1894008e-05, ""z_score"": -2604.922393291663, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,utf8_bits,137592,,,bit_one,Positions where the bitstream contains 1.,55972,gap_entropy,density_shuffle,2.230086040324,2.395940599944,8.2298948e-05,-2015.269487244362,2015.269487244362,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 2.230086040324, ""null_mean"": 2.395940599944, ""null_std"": 8.2298948e-05, ""z_score"": -2015.269487244362, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ar_udhr_ar.json,corpus_batch_curated,,,,ar,parallel_udhr,udhr,,,,,,,,,utf8_bits,110584,,,bit_transition,Positions where the bitstream changes from the previous bit.,47783,gap_entropy,density_shuffle,2.129836454133,2.283044972062,0.000121963991,-1256.178294628225,1256.178294628225,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 2.129836454133, ""null_mean"": 2.283044972062, ""null_std"": 0.000121963991, ""z_score"": -1256.178294628225, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,,utf8_bits,79648,,,bit_one,Positions where the bitstream contains 1.,35368,gap_entropy,density_shuffle,2.061086401737,2.231166514308,0.000147052974,-1156.590771979796,1156.590771979796,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 2.061086401737, ""null_mean"": 2.231166514308, ""null_std"": 0.000147052974, ""z_score"": -1156.590771979796, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es_text_only.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,,utf8_bits,97400,,,bit_transition,Positions where the bitstream changes from the previous bit.,49471,gap_entropy,density_shuffle,1.880482027634,1.968207913097,7.7599219e-05,-1130.499594084628,1130.499594084628,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.880482027634, ""null_mean"": 1.968207913097, ""null_std"": 7.7599219e-05, ""z_score"": -1130.499594084628, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_en_udhr_en_text_only.json,corpus_batch_curated,,,,en,parallel_udhr,udhr,,,,,,,,,utf8_bits,85120,,,bit_transition,Positions where the bitstream changes from the previous bit.,43141,gap_entropy,density_shuffle,1.889052589892,1.97250207665,7.661171e-05,-1089.252373613321,1089.252373613321,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.889052589892, ""null_mean"": 1.97250207665, ""null_std"": 7.661171e-05, ""z_score"": -1089.252373613321, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme,9859,,,whitespace,Whitespace positions.,2428,gap_entropy,density_shuffle,0.90288165372,3.260512746805,0.002168298454,-1087.318532621063,1087.318532621063,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.90288165372, ""null_mean"": 3.260512746805, ""null_std"": 0.002168298454, ""z_score"": -1087.318532621063, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,utf8_bits,137592,,,bit_transition,Positions where the bitstream changes from the previous bit.,67387,gap_entropy,density_shuffle,1.965532426767,2.041009438878,7.1981298e-05,-1048.564201894264,1048.564201894264,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.965532426767, ""null_mean"": 2.041009438878, ""null_std"": 7.1981298e-05, ""z_score"": -1048.564201894264, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_de_udhr_de_text_only.json,corpus_batch_curated,,,,de,parallel_udhr,udhr,,,,,,,,,utf8_bits,96872,,,bit_transition,Positions where the bitstream changes from the previous bit.,51371,gap_entropy,density_shuffle,1.80298688877,1.880503681991,7.7020968e-05,-1006.437538452169,1006.437538452169,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.80298688877, ""null_mean"": 1.880503681991, ""null_std"": 7.7020968e-05, ""z_score"": -1006.437538452169, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_sw_udhr_sw.json,corpus_batch_curated,,,,sw,parallel_udhr,udhr,,,,,,,,,utf8_bits,79272,,,bit_one,Positions where the bitstream contains 1.,35855,gap_entropy,density_shuffle,2.064274092842,2.19594644089,0.000132135331,-996.4961464943,996.4961464943,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 2.064274092842, ""null_mean"": 2.19594644089, ""null_std"": 0.000132135331, ""z_score"": -996.4961464943, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,,grapheme_class,5419,,,other,Positions classified as other in the grapheme-class stream.,1,zeta_spectral_coherence,density_shuffle,0.000184615194,1.38726e-07,1.90949e-07,966.102101206796,966.102101206796,0.038461538462,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 0.000184615194, ""null_mean"": 1.38726e-07, ""null_std"": 1.90949e-07, ""z_score"": 966.102101206796, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ja_udhr_ja_text_only.json,corpus_batch_curated,,,,ja,parallel_udhr,udhr,,,,,,,,,utf8_bits,98104,,,bit_one,Positions where the bitstream contains 1.,47624,gap_entropy,density_shuffle,1.977924587688,2.058418342345,9.0495517e-05,-889.477816616873,889.477816616873,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.977924587688, ""null_mean"": 2.058418342345, ""null_std"": 9.0495517e-05, ""z_score"": -889.477816616873, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme_class,9859,,,whitespace,Positions classified as whitespace in the grapheme-class stream.,2428,gap_entropy,density_shuffle,0.90288165372,3.259839651204,0.002689589235,-876.326379767542,876.326379767542,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.90288165372, ""null_mean"": 3.259839651204, ""null_std"": 0.002689589235, ""z_score"": -876.326379767542, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_he_udhr_he.json,corpus_batch_curated,,,,he,parallel_udhr,udhr,,,,,,,,,utf8_bits,79656,,,bit_transition,Positions where the bitstream changes from the previous bit.,43170,gap_entropy,density_shuffle,1.735063536535,1.835518078552,0.000116014423,-865.879770798324,865.879770798324,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.735063536535, ""null_mean"": 1.835518078552, ""null_std"": 0.000116014423, ""z_score"": -865.879770798324, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_cy_udhr_cy.json,corpus_batch_curated,,,,cy,parallel_udhr,udhr,,,,,,,,,utf8_bits,80000,,,bit_transition,Positions where the bitstream changes from the previous bit.,39571,gap_entropy,density_shuffle,1.932572643404,2.021150744456,0.000105461729,-839.907540809395,839.907540809395,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.932572643404, ""null_mean"": 2.021150744456, ""null_std"": 0.000105461729, ""z_score"": -839.907540809395, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme,9859,,,vowel,Basic Latin-vowel positions plus common accented vowels.,2151,gap_entropy,density_shuffle,1.350218986183,3.45711700565,0.002610173845,-807.186856050248,807.186856050248,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.350218986183, ""null_mean"": 3.45711700565, ""null_std"": 0.002610173845, ""z_score"": -807.186856050248, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_sw_udhr_sw.json,corpus_batch_curated,,,,sw,parallel_udhr,udhr,,,,,,,,,utf8_bits,79272,,,bit_transition,Positions where the bitstream changes from the previous bit.,41846,gap_entropy,density_shuffle,1.800556291146,1.889854850069,0.000110796355,-805.970187441352,805.970187441352,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.800556291146, ""null_mean"": 1.889854850069, ""null_std"": 0.000110796355, ""z_score"": -805.970187441352, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_he_udhr_he.json,corpus_batch_curated,,,,he,parallel_udhr,udhr,,,,,,,,,grapheme_class,5572,,,other,Positions classified as other in the grapheme-class stream.,1,zeta_spectral_coherence,density_shuffle,0.00017955819,1.42135e-07,2.23756e-07,801.839352198068,801.839352198068,0.038461538462,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 0.00017955819, ""null_mean"": 1.42135e-07, ""null_std"": 2.23756e-07, ""z_score"": 801.839352198068, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,word_boundary,9859,,,word_boundary,Positions marked as word boundaries after declared whitespace preprocessing.,2428,gap_entropy,density_shuffle,0.90288165372,3.259661979097,0.002966082882,-794.576692350045,794.576692350045,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.90288165372, ""null_mean"": 3.259661979097, ""null_std"": 0.002966082882, ""z_score"": -794.576692350045, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,,utf8_bits,80544,,,bit_transition,Positions where the bitstream changes from the previous bit.,40968,gap_entropy,density_shuffle,1.877746198456,1.965283676183,0.000110894439,-789.376623529622,789.376623529622,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.877746198456, ""null_mean"": 1.965283676183, ""null_std"": 0.000110894439, ""z_score"": -789.376623529622, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_en_udhr_en.json,corpus_batch_curated,,,,en,parallel_udhr,udhr,,,,,,,,,utf8_bits,79104,,,bit_transition,Positions where the bitstream changes from the previous bit.,40108,gap_entropy,density_shuffle,1.888803251893,1.971687320642,0.000108575424,-763.377807010603,763.377807010603,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.888803251893, ""null_mean"": 1.971687320642, ""null_std"": 0.000108575424, ""z_score"": -763.377807010603, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
