report_group,corpus_family,language_guess,severity,code,count
mesu_register_v0_3_nulls100,unknown,mesu,info,STATISTICAL_DEVIATION,73
mesu_register_v0_3_nulls100,unknown,mesu,warning,DEGENERATE_EVENT_MAP,16
mesu_register_v0_3_nulls100,unknown,mesu,warning,LOW_EVENT_COUNT,18
mesu_register_v0_3_nulls100,unknown,mesu,warning,OVER_REGULARITY_WARNING,16
mesu_register_v0_3_nulls100,unknown,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,34
mesu_register_v0_3_nulls100,unknown,mesu,warning,WINDOW_TOO_SMALL,17
