"report_group","corpus_family","language_guess","severity","code","count"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","warning","PERIODICITY_OR_CLUSTERING_WARNING","20"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","info","STATISTICAL_DEVIATION","61"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","info","SURVIVES_MARKOV_2_NULL","8"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","warning","DEGENERATE_EVENT_MAP","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","warning","LOW_EVENT_COUNT","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","warning","OVER_REGULARITY_WARNING","21"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","warning","PERIODICITY_OR_CLUSTERING_WARNING","18"
"canonical_udhr_v0_3_nulls100","parallel_udhr","la","info","STATISTICAL_DEVIATION","43"
"canonical_udhr_v0_3_nulls100","parallel_udhr","la","info","SURVIVES_MARKOV_2_NULL","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","la","warning","DEGENERATE_EVENT_MAP","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","la","warning","LOW_EVENT_COUNT","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","la","warning","OVER_REGULARITY_WARNING","12"
"canonical_udhr_v0_3_nulls100","parallel_udhr","la","warning","PERIODICITY_OR_CLUSTERING_WARNING","17"
"canonical_udhr_v0_3_nulls100","parallel_udhr","mesu","info","STATISTICAL_DEVIATION","29"
"canonical_udhr_v0_3_nulls100","parallel_udhr","mesu","warning","DEGENERATE_EVENT_MAP","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","mesu","warning","LOW_EVENT_COUNT","6"
"canonical_udhr_v0_3_nulls100","parallel_udhr","mesu","warning","OVER_REGULARITY_WARNING","7"
"canonical_udhr_v0_3_nulls100","parallel_udhr","mesu","warning","PERIODICITY_OR_CLUSTERING_WARNING","13"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ru","info","STATISTICAL_DEVIATION","31"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ru","info","SURVIVES_MARKOV_2_NULL","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ru","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ru","warning","LOW_EVENT_COUNT","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ru","warning","OVER_REGULARITY_WARNING","6"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ru","warning","PERIODICITY_OR_CLUSTERING_WARNING","9"
"canonical_udhr_v0_3_nulls100","parallel_udhr","sw","info","STATISTICAL_DEVIATION","50"
"canonical_udhr_v0_3_nulls100","parallel_udhr","sw","info","SURVIVES_MARKOV_2_NULL","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","sw","warning","DEGENERATE_EVENT_MAP","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","sw","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","sw","warning","OVER_REGULARITY_WARNING","17"
"canonical_udhr_v0_3_nulls100","parallel_udhr","sw","warning","PERIODICITY_OR_CLUSTERING_WARNING","22"
"canonical_udhr_v0_3_nulls100","parallel_udhr","tr","info","STATISTICAL_DEVIATION","63"
"canonical_udhr_v0_3_nulls100","parallel_udhr","tr","info","SURVIVES_MARKOV_2_NULL","7"
"canonical_udhr_v0_3_nulls100","parallel_udhr","tr","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","tr","warning","LOW_EVENT_COUNT","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","tr","warning","OVER_REGULARITY_WARNING","21"
